loc_rowid,pl_hostname,pl_name,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassprov,st_dist,st_disterr1,st_disterr2,st_distlim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_telescope,pl_mnum,pl_disc,rowupdate
3687,Kepler-984,Kepler-984 b,1,43.03422720,0.00014790,-0.00014790,0,,,,,,,,,,461.00,27.41,-22.58,0,,,,,,,,,2.120,0.130,-0.110,0,0.95 m Kepler Telescope,0,2016,2016-05-10
3688,Kepler-985,Kepler-985 b,1,116.33190100,0.00138100,-0.00138100,0,,,,,,,,,,741.00,27.94,-26.54,0,,,,,,,,,2.980,0.140,-0.150,0,0.95 m Kepler Telescope,0,2016,2016-05-10
3689,Kepler-986,Kepler-986 b,1,56.43499380,0.00014460,-0.00014460,0,,,,,,,,,,563.00,68.13,-44.89,0,,,,,,,,,2.360,0.290,-0.190,0,0.95 m Kepler Telescope,0,2016,2016-05-10
3690,Kepler-987,Kepler-987 b,1,105.30331480,0.00047830,-0.00047830,0,,,,,,,,,,936.00,37.28,-36.00,0,,,,,,,,,3.260,0.160,-0.120,0,0.95 m Kepler Telescope,0,2016,2016-05-10
3691,Kepler-988,Kepler-988 b,1,17.76080053,0.00002728,-0.00002728,0,,,,,,,,,,248.00,14.06,-13.39,0,,,,,,,,,2.070,0.470,-0.160,0,0.95 m Kepler Telescope,0,2016,2016-05-10
3692,Kepler-989,Kepler-989 b,1,7.96431535,0.00000962,-0.00000962,0,,,,,,,,,,484.00,24.94,-25.20,0,,,,,,,,,2.210,0.140,-0.130,0,0.95 m Kepler Telescope,0,2016,2016-05-10
3693,Kepler-99,Kepler-99 b,1,4.60358000,,,0,,,,,,,,,Mass,209.63,1.04,-1.04,0,,,,,6.15000,1.30000,-1.30000,0,1.480,0.080,-0.080,0,0.95 m Kepler Telescope,0,2014,2014-05-14
3694,Kepler-990,Kepler-990 b,2,9.91723428,0.00002468,-0.00002468,0,,,,,,,,,,933.00,242.95,-130.03,0,,,,,,,,,2.600,0.650,-0.420,0,0.95 m Kepler Telescope,0,2016,2016-05-10
3695,Kepler-990,Kepler-990 c,2,0.53835431,0.00000067,-0.00000067,0,,,,,,,,,,933.00,242.95,-130.03,0,,,,,,,,,1.530,0.350,-0.190,0,0.95 m Kepler Telescope,0,2016,2016-05-10
3696,Kepler-991,Kepler-991 b,1,82.53425190,0.00034490,-0.00034490,0,,,,,,,,,,370.00,16.66,-16.50,0,,,,,,,,,2.540,0.130,-0.120,0,0.95 m Kepler Telescope,0,2016,2016-05-10
3697,Kepler-992,Kepler-992 b,1,20.16034462,0.00005016,-0.00005016,0,,,,,,,,,,268.00,6.79,-7.68,0,,,,,,,,,1.620,0.040,-0.270,0,0.95 m Kepler Telescope,0,2016,2016-05-10
3698,Kepler-993,Kepler-993 b,1,22.08557563,0.00004655,-0.00004655,0,,,,,,,,,,298.00,14.99,-14.13,0,,,,,,,,,2.970,0.180,-0.120,0,0.95 m Kepler Telescope,0,2016,2016-05-10
3699,Kepler-994,Kepler-994 b,1,1.15116651,0.00000057,-0.00000057,0,,,,,,,,,,170.00,9.38,-9.36,0,,,,,,,,,1.600,0.070,-0.270,0,0.95 m Kepler Telescope,0,2016,2016-05-10
3700,Kepler-995,Kepler-995 b,1,28.26731672,0.00008643,-0.00008643,0,,,,,,,,,,659.00,44.56,-44.11,0,,,,,,,,,2.700,0.190,-0.170,0,0.95 m Kepler Telescope,0,2016,2016-05-10
3701,Kepler-996,Kepler-996 b,1,3.77059058,0.00000806,-0.00000806,0,,,,,,,,,,1098.00,345.52,-146.78,0,,,,,,,,,1.980,0.630,-0.250,0,0.95 m Kepler Telescope,0,2016,2016-05-10
3702,Kepler-997,Kepler-997 b,1,2.70730672,0.00000552,-0.00000552,0,,,,,,,,,,470.00,112.98,-88.85,0,,,,,,,,,1.360,0.330,-0.260,0,0.95 m Kepler Telescope,0,2016,2016-05-10
3703,Kepler-998,Kepler-998 b,1,5.65377733,0.00001059,-0.00001059,0,,,,,,,,,,996.00,260.25,-133.44,0,,,,,,,,,2.320,0.610,-0.300,0,0.95 m Kepler Telescope,0,2016,2016-05-10
3704,Kepler-999,Kepler-999 b,1,5.99185702,0.00000817,-0.00000817,0,,,,,,,,,,568.00,156.76,-116.29,0,,,,,,,,,2.340,0.650,-0.490,0,0.95 m Kepler Telescope,0,2016,2016-05-10
3705,L 168-9,L 168-9 b,1,1.40150000,0.00018000,-0.00018000,0,0.210000,,,1,85.500,0.800,-0.700,0,Mass,25.17,0.02,-0.02,0,965,20,-20,0,4.60000,0.56000,-0.56000,0,1.390,0.090,-0.090,0,0.1 m TESS Telescope,0,2020,2020-02-13
3706,L 98-59,L 98-59 b,3,2.25314000,0.00002000,-0.00002000,0,0.100000,0.170000,-0.070000,0,88.700,0.800,-0.700,0,,10.62,0.00,0.00,0,,,,0,,,,0,0.800,0.050,-0.050,0,0.1 m TESS Telescope,0,2019,2019-06-13
3707,L 98-59,L 98-59 c,3,3.69062100,0.00001300,-0.00001400,0,0.090000,0.160000,-0.070000,0,89.300,0.400,-0.500,0,,10.62,0.00,0.00,0,,,,0,,,,0,1.350,0.080,-0.070,0,0.1 m TESS Telescope,0,2019,2019-06-13
3708,L 98-59,L 98-59 d,3,7.45086000,0.00004000,-0.00005000,0,0.200000,0.320000,-0.160000,0,88.500,0.200,-0.500,0,,10.62,0.00,0.00,0,,,,0,,,,0,1.570,0.140,-0.140,0,0.1 m TESS Telescope,0,2019,2019-06-13
3709,LHS 1140,LHS 1140 b,2,24.73695900,0.00008000,-0.00008000,0,0.060000,,,1,89.890,0.050,-0.030,0,Mass,14.99,0.02,-0.02,0,235,5,-5,0,6.98000,0.89000,-0.89000,0,1.727,0.032,-0.032,0,0.4 m MEarth Telescope,0,2017,2018-12-06
